encoded_feature,original_feature,importance
categorical__Contract_Month-to-month,Contract,0.37997803906292393
numeric__tenure,tenure,0.13820841106420947
numeric__TotalCharges,TotalCharges,0.08659941295721175
categorical__InternetService_Fiber optic,InternetService,0.08652255615889563
numeric__MonthlyCharges,MonthlyCharges,0.08180095822356881
categorical__OnlineSecurity_No,OnlineSecurity,0.06814172857465679
categorical__PaymentMethod_Electronic check,PaymentMethod,0.04430862835324558
categorical__TechSupport_No,TechSupport,0.03805711196071729
categorical__MultipleLines_No,MultipleLines,0.010302039974778172
categorical__PaperlessBilling_Yes,PaperlessBilling,0.010230415097984164
categorical__PaperlessBilling_No,PaperlessBilling,0.009622108187096518
categorical__OnlineBackup_No,OnlineBackup,0.008900057412221624
categorical__StreamingMovies_Yes,StreamingMovies,0.006043976495537929
categorical__Contract_One year,Contract,0.004825279960362536
categorical__Contract_Two year,Contract,0.004384586165507428
categorical__SeniorCitizen_1,SeniorCitizen,0.003421087907620848
categorical__gender_Male,gender,0.002277845135355096
categorical__StreamingTV_Yes,StreamingTV,0.002013539579224189
categorical__SeniorCitizen_0,SeniorCitizen,0.0018950293114278986
categorical__gender_Female,gender,0.0018487770574069124
categorical__Dependents_No,Dependents,0.0013689367769695474
categorical__MultipleLines_No phone service,MultipleLines,0.0012890663490052934
categorical__PaymentMethod_Bank transfer (automatic),PaymentMethod,0.0010963225611982214
categorical__PaymentMethod_Mailed check,PaymentMethod,0.0010155559649538274
categorical__DeviceProtection_Yes,DeviceProtection,0.0010060467665589917
categorical__Dependents_Yes,Dependents,0.0009826075019997008
categorical__TechSupport_Yes,TechSupport,0.0008313175660899296
categorical__Partner_Yes,Partner,0.0007522244567769365
categorical__PaymentMethod_Credit card (automatic),PaymentMethod,0.0006918240255955319
categorical__PhoneService_No,PhoneService,0.0006012593155018443
categorical__OnlineBackup_Yes,OnlineBackup,0.00033046889302008485
categorical__InternetService_DSL,InternetService,0.0003290149110178549
categorical__PhoneService_Yes,PhoneService,0.0002742106054696122
categorical__OnlineSecurity_No internet service,OnlineSecurity,4.95556658899204e-05
categorical__Partner_No,Partner,0.0
categorical__InternetService_No,InternetService,0.0
categorical__OnlineSecurity_Yes,OnlineSecurity,0.0
categorical__MultipleLines_Yes,MultipleLines,0.0
categorical__TechSupport_No internet service,TechSupport,0.0
categorical__DeviceProtection_No internet service,DeviceProtection,0.0
categorical__OnlineBackup_No internet service,OnlineBackup,0.0
categorical__DeviceProtection_No,DeviceProtection,0.0
categorical__StreamingMovies_No,StreamingMovies,0.0
categorical__StreamingMovies_No internet service,StreamingMovies,0.0
categorical__StreamingTV_No,StreamingTV,0.0
categorical__StreamingTV_No internet service,StreamingTV,0.0
