original_feature,importance
Contract,0.38918790518879387
tenure,0.13820841106420947
InternetService,0.0868515710699135
TotalCharges,0.08659941295721175
MonthlyCharges,0.08180095822356881
OnlineSecurity,0.06819128424054671
PaymentMethod,0.047112330904993165
TechSupport,0.03888842952680722
PaperlessBilling,0.01985252328508068
MultipleLines,0.011591106323783466
OnlineBackup,0.00923052630524171
StreamingMovies,0.006043976495537929
SeniorCitizen,0.005316117219048747
gender,0.0041266221927620085
Dependents,0.0023515442789692484
StreamingTV,0.002013539579224189
DeviceProtection,0.0010060467665589917
PhoneService,0.0008754699209714565
Partner,0.0007522244567769365
