model,fold,accuracy,precision,recall,f1,roc_auc
Logistic Regression,1,0.7985803016858918,0.6451612903225806,0.5351170568561873,0.5850091407678245,0.8478301261855138
Logistic Regression,2,0.782608695652174,0.6097560975609756,0.5016722408026756,0.5504587155963303,0.8252084242159857
Logistic Regression,3,0.8021295474711624,0.6583333333333333,0.5284280936454849,0.5862708719851577,0.8419005380253017
Logistic Regression,4,0.8163265306122449,0.6642857142857143,0.6220735785953178,0.6424870466321243,0.8628257638182024
Logistic Regression,5,0.8134991119005328,0.6960352422907489,0.5284280936454849,0.6007604562737643,0.8528751622700417
Balanced Logistic Regression,1,0.7675244010647737,0.5404814004376368,0.8260869565217391,0.6534391534391535,0.8471232611119188
Balanced Logistic Regression,2,0.7249334516415262,0.487964989059081,0.745819397993311,0.58994708994709,0.8255396409933272
Balanced Logistic Regression,3,0.738243123336291,0.5042194092827004,0.7993311036789298,0.6183699870633894,0.8415733604769522
Balanced Logistic Regression,4,0.7559893522626442,0.5245901639344263,0.8561872909698997,0.650571791613723,0.862607645452636
Balanced Logistic Regression,5,0.7575488454706927,0.5295454545454545,0.7792642140468228,0.6305818673883626,0.8529156034019081
Random Forest,1,0.8021295474711624,0.6610169491525424,0.5217391304347826,0.5831775700934579,0.8313137188373484
Random Forest,2,0.782608695652174,0.6216216216216216,0.46153846153846156,0.5297504798464492,0.8244854022264231
Random Forest,3,0.8110026619343389,0.680672268907563,0.5418060200668896,0.6033519553072626,0.8368070702664276
Random Forest,4,0.7959183673469388,0.6533333333333333,0.4916387959866221,0.5610687022900763,0.8350156722084889
Random Forest,5,0.8134991119005328,0.7129186602870813,0.4983277591973244,0.5866141732283464,0.8554330638605915
Gradient Boosting,1,0.7950310559006211,0.6440677966101694,0.5083612040133779,0.5682242990654206,0.8407574362205742
Gradient Boosting,2,0.7888198757763976,0.6265560165975104,0.5050167224080268,0.5592592592592592,0.8306108929927457
Gradient Boosting,3,0.8110026619343389,0.672,0.5618729096989966,0.6120218579234973,0.8445664291600019
Gradient Boosting,4,0.80301685891748,0.6509803921568628,0.5551839464882943,0.5992779783393501,0.860583991727659
Gradient Boosting,5,0.8188277087033747,0.7092511013215859,0.5384615384615384,0.6121673003802282,0.8625143060503978
