model,threshold,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.1,0.6104011359602414,0.40051165434906194,0.9424749163879599,0.5621384400558548,0.845577228112392
Logistic Regression,0.11,0.6210507632232872,0.40675990675990675,0.9337792642140468,0.5666734321087883,0.845577228112392
Logistic Regression,0.12,0.631700390486333,0.4137418203450327,0.9304347826086956,0.5727815523986,0.845577228112392
Logistic Regression,0.13,0.6464323748668797,0.4240757714634891,0.928428093645485,0.5822147651006712,0.845577228112392
Logistic Regression,0.14,0.6549520766773163,0.42999688182101653,0.9224080267558529,0.5865589111016589,0.845577228112392
Logistic Regression,0.15,0.6661341853035144,0.4380218368657675,0.9123745819397994,0.5918854415274463,0.845577228112392
Logistic Regression,0.16,0.6760738374156905,0.44565217391304346,0.9050167224080268,0.5972191569190024,0.845577228112392
Logistic Regression,0.17,0.6853035143769968,0.4530087897227857,0.8963210702341137,0.6018414551987424,0.845577228112392
Logistic Regression,0.18,0.693645722399716,0.4598260869565217,0.8842809364548495,0.6050343249427917,0.845577228112392
Logistic Regression,0.19,0.7021654242101526,0.4671218109953288,0.8695652173913043,0.6077606358111267,0.845577228112392
Logistic Regression,0.2,0.7105076322328718,0.47472118959107806,0.854180602006689,0.6102747909199522,0.845577228112392
Logistic Regression,0.21,0.7174298899538516,0.4815939278937381,0.8488294314381271,0.6145278450363196,0.845577228112392
Logistic Regression,0.22,0.7248846290379837,0.4892871055707051,0.8401337792642141,0.6184145741014279,0.845577228112392
Logistic Regression,0.23,0.729144479943202,0.4938222399362296,0.82876254180602,0.6188811188811189,0.845577228112392
Logistic Regression,0.24,0.7360667376641817,0.5016299918500408,0.8234113712374582,0.6234489744239048,0.845577228112392
Logistic Regression,0.25,0.7424565140220092,0.5091743119266054,0.8167224080267559,0.6272797328538402,0.845577228112392
Logistic Regression,0.26,0.7477813276535321,0.5158254918733961,0.8066889632107024,0.6292721106183147,0.845577228112392
Logistic Regression,0.27,0.7547035853745119,0.5249008373732922,0.7966555183946489,0.6328374070138151,0.845577228112392
Logistic Regression,0.28,0.7598509052183173,0.531981981981982,0.7899665551839465,0.6358008075370121,0.845577228112392
Logistic Regression,0.29,0.7626908058217963,0.5365064695009242,0.7765886287625418,0.6345996173817983,0.845577228112392
Logistic Regression,0.3,0.7657082002129926,0.5412930627654554,0.7672240802675585,0.6347537354731599,0.845577228112392
Logistic Regression,0.31,0.7687255946041889,0.5462873674059788,0.7578595317725753,0.6349117399831886,0.845577228112392
Logistic Regression,0.32,0.7736954206602769,0.5543478260869565,0.7505016722408027,0.6376811594202898,0.845577228112392
Logistic Regression,0.33,0.7767128150514732,0.56,0.7397993311036789,0.6374639769452449,0.845577228112392
Logistic Regression,0.34,0.7783102591409301,0.5639293139293139,0.725752508361204,0.6346885054109389,0.845577228112392
Logistic Regression,0.35,0.7815051473198438,0.5702127659574469,0.717056856187291,0.6352592592592593,0.845577228112392
Logistic Regression,0.36,0.7832800851970181,0.5747816593886463,0.7043478260869566,0.6330027051397655,0.845577228112392
Logistic Regression,0.37,0.7839900603478879,0.5777404921700223,0.6909698996655519,0.6293024672555589,0.845577228112392
Logistic Regression,0.38,0.7845225417110401,0.5806081468732072,0.676923076923077,0.625077208153181,0.845577228112392
Logistic Regression,0.39,0.7875399361022364,0.5871345029239766,0.671571906354515,0.6265210608424338,0.845577228112392
Logistic Regression,0.4,0.7905573304934327,0.5943678849610545,0.6635451505016723,0.6270543615676359,0.845577228112392
Logistic Regression,0.41,0.7939297124600639,0.6027060270602707,0.6555183946488294,0.6280038449214995,0.845577228112392
Logistic Regression,0.42,0.7948171813986511,0.6081684747925973,0.6374581939799331,0.6224689745264533,0.845577228112392
Logistic Regression,0.43,0.7955271565495208,0.6127547666009204,0.6234113712374582,0.6180371352785146,0.845577228112392
Logistic Regression,0.44,0.7973020944266951,0.6193373901284652,0.6127090301003344,0.6160053799596503,0.845577228112392
Logistic Regression,0.45,0.7976570820021299,0.6231783483691881,0.6006688963210702,0.611716621253406,0.845577228112392
Logistic Regression,0.46,0.8013844515441959,0.6346704871060171,0.5926421404682274,0.6129367001037703,0.845577228112392
Logistic Regression,0.47,0.8010294639687611,0.6370967741935484,0.5812709030100335,0.6079048618398041,0.845577228112392
Logistic Regression,0.48,0.8022719204827831,0.645087585681645,0.5665551839464883,0.6032763532763533,0.845577228112392
Logistic Regression,0.49,0.8019169329073482,0.6483946750195771,0.5538461538461539,0.5974025974025974,0.845577228112392
Logistic Regression,0.5,0.802626908058218,0.6543110394842868,0.5431438127090301,0.5935672514619883,0.845577228112392
Logistic Regression,0.51,0.8024494142705005,0.6565573770491804,0.5357859531772575,0.5900552486187846,0.845577228112392
Logistic Regression,0.52,0.8040468583599574,0.6655376799322608,0.525752508361204,0.5874439461883408,0.845577228112392
Logistic Regression,0.53,0.80386936457224,0.6704545454545454,0.5130434782608696,0.5812807881773399,0.845577228112392
Logistic Regression,0.54,0.8040468583599574,0.6778889899909009,0.4983277591973244,0.574402467232074,0.845577228112392
Logistic Regression,0.55,0.8044018459353922,0.6852026390197926,0.4862876254180602,0.5688575899843505,0.845577228112392
Logistic Regression,0.56,0.8047568335108272,0.695351137487636,0.47023411371237456,0.5610534716679968,0.845577228112392
Logistic Regression,0.57,0.8033368832090877,0.6992790937178167,0.45418060200668897,0.5506893755068938,0.845577228112392
Logistic Regression,0.58,0.8024494142705005,0.7067099567099567,0.4367892976588629,0.5398925175692435,0.845577228112392
Logistic Regression,0.59,0.8008519701810437,0.7116912599318955,0.4193979933110368,0.5277777777777778,0.845577228112392
Logistic Regression,0.6,0.7971246006389776,0.7105263157894737,0.39732441471571905,0.5096525096525096,0.845577228112392
Logistic Regression,0.61,0.7951721689740859,0.7188703465982028,0.3745819397993311,0.4925241864555849,0.845577228112392
Logistic Regression,0.62,0.7933972310969116,0.7251700680272108,0.3565217391304348,0.4780269058295964,0.845577228112392
Logistic Regression,0.63,0.792332268370607,0.7365356622998545,0.3384615384615385,0.46379468377635197,0.845577228112392
Logistic Regression,0.64,0.7916222932197373,0.7480680061823802,0.3237458193979933,0.4519140989729225,0.845577228112392
Logistic Regression,0.65,0.7893148739794107,0.7541254125412541,0.305685618729097,0.4350309376487387,0.845577228112392
Logistic Regression,0.66,0.7850550230741924,0.7508833922261484,0.2842809364548495,0.41242115477923336,0.845577228112392
Logistic Regression,0.67,0.7831025914093007,0.7580340264650284,0.2682274247491639,0.39624505928853754,0.845577228112392
Logistic Regression,0.68,0.7802626908058218,0.7693920335429769,0.2454849498327759,0.372210953346856,0.845577228112392
Logistic Regression,0.69,0.7781327653532126,0.7777777777777778,0.2294314381270903,0.3543388429752066,0.845577228112392
Logistic Regression,0.7,0.7747603833865815,0.7797029702970297,0.21070234113712374,0.33175355450236965,0.845577228112392
Logistic Regression,0.71,0.7715654952076677,0.7857142857142857,0.19130434782608696,0.3076923076923077,0.845577228112392
Logistic Regression,0.72,0.7674831380901669,0.7993527508090615,0.16521739130434782,0.2738359201773836,0.845577228112392
Logistic Regression,0.73,0.7648207312744054,0.8102189781021898,0.14849498327759197,0.2509892594686263,0.845577228112392
Logistic Regression,0.74,0.7600283990060348,0.8264840182648402,0.12107023411371237,0.21120186697782964,0.845577228112392
Logistic Regression,0.75,0.7564785232516862,0.8435754189944135,0.10100334448160535,0.18040621266427717,0.845577228112392
Logistic Regression,0.76,0.7532836350727724,0.8620689655172413,0.08361204013377926,0.1524390243902439,0.845577228112392
Logistic Regression,0.77,0.7511537096201633,0.8842975206611571,0.07157190635451505,0.13242574257425743,0.845577228112392
Logistic Regression,0.78,0.7476038338658147,0.8924731182795699,0.05551839464882943,0.10453400503778337,0.845577228112392
Logistic Regression,0.79,0.7438764643237487,0.8823529411764706,0.04013377926421405,0.07677543186180422,0.845577228112392
Logistic Regression,0.8,0.7421015264465743,0.92,0.03076923076923077,0.05954692556634304,0.845577228112392
Logistic Regression,0.81,0.7401490947816827,0.9696969696969697,0.02140468227424749,0.041884816753926704,0.845577228112392
Logistic Regression,0.82,0.7385516506922257,0.9583333333333334,0.015384615384615385,0.030283080974325215,0.845577228112392
Logistic Regression,0.83,0.7371317003904864,0.9375,0.010033444816053512,0.01985440105890139,0.845577228112392
Logistic Regression,0.84,0.7357117500887469,0.875,0.0046822742474916385,0.009314703925482368,0.845577228112392
Logistic Regression,0.85,0.7350017749378772,1.0,0.0013377926421404682,0.0026720106880427524,0.845577228112392
Logistic Regression,0.86,0.7346467873624423,0.0,0.0,0.0,0.845577228112392
Logistic Regression,0.87,0.7346467873624423,0.0,0.0,0.0,0.845577228112392
Logistic Regression,0.88,0.7346467873624423,0.0,0.0,0.0,0.845577228112392
Logistic Regression,0.89,0.7346467873624423,0.0,0.0,0.0,0.845577228112392
Logistic Regression,0.9,0.7346467873624423,0.0,0.0,0.0,0.845577228112392
Balanced Logistic Regression,0.1,0.48296059637912675,0.33708639705882354,0.9812709030100334,0.5017957927142124,0.8454671729312736
Balanced Logistic Regression,0.11,0.4971600993965211,0.3431786216596343,0.9792642140468227,0.5082450963374414,0.8454671729312736
Balanced Logistic Regression,0.12,0.5115370962016329,0.34946107784431135,0.9759197324414716,0.5146384479717813,0.8454671729312736
Balanced Logistic Regression,0.13,0.5228966986155484,0.3547601655709764,0.974581939799331,0.5201713673687969,0.8454671729312736
Balanced Logistic Regression,0.14,0.5315938942137025,0.3588351431391905,0.9725752508361204,0.5242473409049937,0.8454671729312736
Balanced Logistic Regression,0.15,0.5420660276890309,0.363932781540005,0.9705685618729097,0.5293688434877781,0.8454671729312736
Balanced Logistic Regression,0.16,0.5498757543485978,0.3679269221009896,0.9698996655518395,0.5334805003679176,0.8454671729312736
Balanced Logistic Regression,0.17,0.5583954561590344,0.37213494720576873,0.9665551839464883,0.5373744886574935,0.8454671729312736
Balanced Logistic Regression,0.18,0.5701100461483848,0.37831451824625884,0.9638795986622074,0.5433634992458521,0.8454671729312736
Balanced Logistic Regression,0.19,0.5764998225062122,0.38148443735035914,0.9591973244147157,0.5458698134754473,0.8454671729312736
Balanced Logistic Regression,0.2,0.5848420305289315,0.3858842617631152,0.954515050167224,0.5495859811284421,0.8454671729312736
Balanced Logistic Regression,0.21,0.5906993255236067,0.3889345384826075,0.9498327759197325,0.5518849591916052,0.8454671729312736
Balanced Logistic Regression,0.22,0.5977990770323038,0.3928869130313976,0.945819397993311,0.5551629367883785,0.8454671729312736
Balanced Logistic Regression,0.23,0.6054313099041534,0.3975225225225225,0.9444816053511705,0.5595403209827621,0.8454671729312736
Balanced Logistic Regression,0.24,0.6112886048988285,0.4011379800853485,0.9431438127090301,0.562874251497006,0.8454671729312736
Balanced Logistic Regression,0.25,0.6166134185303515,0.40437158469945356,0.9404682274247491,0.5655671761866452,0.8454671729312736
Balanced Logistic Regression,0.26,0.6206957756478523,0.40657741559953436,0.934448160535117,0.5666193469884405,0.8454671729312736
Balanced Logistic Regression,0.27,0.62637557685481,0.4102941176470588,0.9331103678929766,0.5699693564862104,0.8454671729312736
Balanced Logistic Regression,0.28,0.6343627973020944,0.4155455904334828,0.9297658862876255,0.5743801652892562,0.8454671729312736
Balanced Logistic Regression,0.29,0.6400425985090522,0.4195107218363032,0.9290969899665552,0.5780274656679151,0.8454671729312736
Balanced Logistic Regression,0.3,0.6471423500177493,0.4244096902790555,0.925752508361204,0.5820016820857864,0.8454671729312736
Balanced Logistic Regression,0.31,0.6524671636492723,0.4281725100837729,0.9230769230769231,0.5849936413734633,0.8454671729312736
Balanced Logistic Regression,0.32,0.6595669151579695,0.43342776203966005,0.9210702341137124,0.5894691780821918,0.8454671729312736
Balanced Logistic Regression,0.33,0.6632942847000355,0.4359464627151052,0.9150501672240803,0.5905460824519749,0.8454671729312736
Balanced Logistic Regression,0.34,0.670926517571885,0.44170185125040595,0.9096989966555183,0.5946655006558811,0.8454671729312736
Balanced Logistic Regression,0.35,0.6766063187788427,0.4459504132231405,0.9023411371237459,0.5969026548672567,0.8454671729312736
Balanced Logistic Regression,0.36,0.6833510827121051,0.4514285714285714,0.8983277591973244,0.6008948545861298,0.8454671729312736
Balanced Logistic Regression,0.37,0.68991835285765,0.45690834473324216,0.8936454849498328,0.6046616881647432,0.8454671729312736
Balanced Logistic Regression,0.38,0.6931132410365637,0.4593184979137691,0.8836120401337793,0.6044383436284603,0.8454671729312736
Balanced Logistic Regression,0.39,0.6984380546680866,0.4638041163946061,0.874247491638796,0.6060746580106654,0.8454671729312736
Balanced Logistic Regression,0.4,0.706425275115371,0.4710593374590462,0.8655518394648829,0.6100895803866101,0.8454671729312736
Balanced Logistic Regression,0.41,0.7096201632942847,0.47399483585392843,0.8595317725752508,0.6110318592486923,0.8454671729312736
Balanced Logistic Regression,0.42,0.7147674831380901,0.4789631855747558,0.8528428093645485,0.6134231416887178,0.8454671729312736
Balanced Logistic Regression,0.43,0.7193823216187434,0.48357524828113063,0.8468227424749164,0.6156090444930707,0.8454671729312736
Balanced Logistic Regression,0.44,0.7232871849485268,0.4875486381322957,0.8381270903010033,0.6164821648216482,0.8454671729312736
Balanced Logistic Regression,0.45,0.7270145544905928,0.4915187376725838,0.8334448160535117,0.6183622828784119,0.8454671729312736
Balanced Logistic Regression,0.46,0.731629392971246,0.49659591509811774,0.8294314381270903,0.6212424849699398,0.8454671729312736
Balanced Logistic Regression,0.47,0.7360667376641817,0.5016326530612245,0.8220735785953177,0.6230671736375158,0.8454671729312736
Balanced Logistic Regression,0.48,0.7401490947816827,0.5064718162839248,0.811371237458194,0.6236503856041131,0.8454671729312736
Balanced Logistic Regression,0.49,0.7447639332623358,0.512091641917692,0.8073578595317725,0.6266874350986501,0.8454671729312736
Balanced Logistic Regression,0.5,0.7488462903798367,0.5172711571675302,0.8013377926421404,0.6287063762791918,0.8454671729312736
Balanced Logistic Regression,0.51,0.7534611288604899,0.523306948109059,0.7959866220735786,0.6314672326877155,0.8454671729312736
Balanced Logistic Regression,0.52,0.7582534611288605,0.5299145299145299,0.7879598662207358,0.633674018289403,0.8454671729312736
Balanced Logistic Regression,0.53,0.7598509052183173,0.5324794144556267,0.7785953177257525,0.632436837815811,0.8454671729312736
Balanced Logistic Regression,0.54,0.7639332623358183,0.5383899488134016,0.7739130434782608,0.6350164654226125,0.8454671729312736
Balanced Logistic Regression,0.55,0.7660631877884274,0.541923259118901,0.7652173913043478,0.634498058790904,0.8454671729312736
Balanced Logistic Regression,0.56,0.7697905573304934,0.5478260869565217,0.7585284280936455,0.6361851332398317,0.8454671729312736
Balanced Logistic Regression,0.57,0.7729854455094072,0.5534653465346535,0.7478260869565218,0.6361308677098151,0.8454671729312736
Balanced Logistic Regression,0.58,0.7763578274760383,0.559735638027453,0.7364548494983277,0.6360485268630849,0.8454671729312736
Balanced Logistic Regression,0.59,0.7790202342917998,0.5652400835073069,0.7244147157190636,0.635004397537379,0.8454671729312736
Balanced Logistic Regression,0.6,0.7823926162584309,0.57150451887294,0.7190635451505016,0.6368483412322274,0.8454671729312736
Balanced Logistic Regression,0.61,0.7834575789847356,0.5753424657534246,0.7023411371237458,0.6325301204819277,0.8454671729312736
Balanced Logistic Regression,0.62,0.7859424920127795,0.5807713806595863,0.6949832775919732,0.6327649208282582,0.8454671729312736
Balanced Logistic Regression,0.63,0.7864749733759319,0.5839080459770115,0.6795986622073579,0.628129829984544,0.8454671729312736
Balanced Logistic Regression,0.64,0.7887823926162584,0.5895478567234292,0.671571906354515,0.6278924327704816,0.8454671729312736
Balanced Logistic Regression,0.65,0.791089811856585,0.5952095808383233,0.6648829431438127,0.6281200631911532,0.8454671729312736
Balanced Logistic Regression,0.66,0.7928647497337593,0.6017369727047146,0.6488294314381271,0.624396523978114,0.8454671729312736
Balanced Logistic Regression,0.67,0.7957046503372383,0.6111111111111112,0.6327759197324415,0.6217548471902727,0.8454671729312736
Balanced Logistic Regression,0.68,0.7969471068512602,0.6175485599464167,0.6167224080267558,0.6171352074966533,0.8454671729312736
Balanced Logistic Regression,0.69,0.7974795882144124,0.6220689655172413,0.6033444816053511,0.6125636672325976,0.8454671729312736
Balanced Logistic Regression,0.7,0.7994320198793042,0.6293408929836996,0.5939799331103679,0.6111493461803166,0.8454671729312736
Balanced Logistic Regression,0.71,0.8012069577564785,0.6387860843819393,0.577257525083612,0.60646521433591,0.8454671729312736
Balanced Logistic Regression,0.72,0.8013844515441959,0.6443932411674347,0.5612040133779265,0.5999284948158742,0.8454671729312736
Balanced Logistic Regression,0.73,0.8010294639687611,0.6484126984126984,0.5464882943143813,0.593103448275862,0.8454671729312736
Balanced Logistic Regression,0.74,0.8024494142705005,0.6581125827814569,0.5317725752508361,0.5882352941176471,0.8454671729312736
Balanced Logistic Regression,0.75,0.8010294639687611,0.6598290598290598,0.5163879598662208,0.5793621013133208,0.8454671729312736
Balanced Logistic Regression,0.76,0.8024494142705005,0.671146953405018,0.5010033444816053,0.5737265415549598,0.8454671729312736
Balanced Logistic Regression,0.77,0.8024494142705005,0.6808712121212122,0.4809364548494983,0.5637005096040768,0.8454671729312736
Balanced Logistic Regression,0.78,0.8042243521476748,0.6983805668016194,0.46153846153846156,0.5557792992347966,0.8454671729312736
Balanced Logistic Regression,0.79,0.8012069577564785,0.7044711014176663,0.43210702341137125,0.5356550580431177,0.8454671729312736
Balanced Logistic Regression,0.8,0.7978345757898474,0.7134292565947242,0.3979933110367893,0.5109489051094891,0.8454671729312736
Balanced Logistic Regression,0.81,0.7946396876109336,0.7229551451187335,0.3665551839464883,0.486462494451842,0.8454671729312736
Balanced Logistic Regression,0.82,0.7930422435214768,0.7387518142235123,0.34046822742474914,0.4661172161172161,0.8454671729312736
Balanced Logistic Regression,0.83,0.7891373801916933,0.7495934959349594,0.3083612040133779,0.4369668246445498,0.8454671729312736
Balanced Logistic Regression,0.84,0.7850550230741924,0.7553956834532374,0.2809364548494983,0.40955631399317405,0.8454671729312736
Balanced Logistic Regression,0.85,0.7802626908058218,0.7682672233820459,0.24615384615384617,0.3728470111448835,0.8454671729312736
Balanced Logistic Regression,0.86,0.7747603833865815,0.775609756097561,0.21270903010033446,0.33385826771653543,0.8454671729312736
Balanced Logistic Regression,0.87,0.7678381256656017,0.7876923076923077,0.17123745819397992,0.2813186813186813,0.8454671729312736
Balanced Logistic Regression,0.88,0.7618033368832091,0.8122448979591836,0.1331103678929766,0.22873563218390805,0.8454671729312736
Balanced Logistic Regression,0.89,0.7539936102236422,0.8427672955974843,0.08963210702341137,0.16203143893591293,0.8454671729312736
Balanced Logistic Regression,0.9,0.748136315228967,0.8653846153846154,0.06020066889632107,0.1125703564727955,0.8454671729312736
Random Forest,0.1,0.5869719559815406,0.38652482269503546,0.9478260869565217,0.5491183879093199,0.8360981802109148
Random Forest,0.11,0.601171458998935,0.3943820224719101,0.9391304347826087,0.5554896142433234,0.8360981802109148
Random Forest,0.12,0.6153709620163295,0.402834008097166,0.9317725752508361,0.5624873813850192,0.8360981802109148
